open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,timestamp_utc,timestamp_ist,minute_vwap,session_vwap,return
1777334400000,77331.2,77348.5,77273.2,77273.2,168.427,1777334459999,13022135.8861,2693,48.898,3781396.6519,0,2026-04-28 00:00:00+0000,2026-04-28 05:30:00+0530,77316.20159534992,77298.3,0.0
1777334460000,77273.2,77324.4,77260.0,77300.0,166.215,1777334519999,12846203.3114,3485,89.446,6912604.2553,0,2026-04-28 00:01:00+0000,2026-04-28 05:31:00+0530,77286.66673525254,77296.56156758567,0.0003468214076809417
1777334520000,77300.1,77318.6,77292.8,77306.0,69.433,1777334579999,5367632.4584,1518,55.15,4263465.2115,0,2026-04-28 00:02:00+0000,2026-04-28 05:32:00+0530,77306.647536474,77298.1490255522,7.761966364805417e-05
1777334580000,77306.1,77319.6,77260.0,77266.0,135.85,1777334639999,10497834.2044,2941,59.387,4588767.1667,0,2026-04-28 00:03:00+0000,2026-04-28 05:33:00+0530,77275.18737136548,77294.05223719345,-0.0005174242620236136
1777334640000,77266.1,77266.6,77243.0,77255.4,96.444,1777334699999,7450672.5495,2132,49.871,3852688.7182,0,2026-04-28 00:04:00+0000,2026-04-28 05:34:00+0530,77253.87322695035,77288.13373084905,-0.00013718841405019333
1777334700000,77255.4,77266.5,77233.5,77264.0,100.361,1777334759999,7753106.295,2287,42.915,3315229.2038,0,2026-04-28 00:05:00+0000,2026-04-28 05:35:00+0530,77252.18257091897,77283.57468204093,0.00011131907931360985
1777334760000,77263.9,77263.9,77236.0,77236.0,64.187,1777334819999,4958025.9718,1523,33.241,2567594.6956,0,2026-04-28 00:06:00+0000,2026-04-28 05:36:00+0530,77243.46007446991,77280.50727678399,-0.0003623938703665175
1777334820000,77236.0,77264.0,77229.9,77264.0,63.032,1777334879999,4868475.2672,1666,27.963,2159796.1357,0,2026-04-28 00:07:00+0000,2026-04-28 05:37:00+0530,77238.15311587765,77278.47364933194,0.00036252524729407654
1777334880000,77264.0,77289.3,77259.9,77289.3,56.914,1777334939999,4397995.9391,1414,28.901,2233272.636,0,2026-04-28 00:08:00+0000,2026-04-28 05:38:00+0530,77274.41295814738,77278.53708300438,0.00032744874715273653
1777334940000,77289.3,77339.6,77289.2,77320.0,147.877,1777334999999,11433271.6258,2768,82.022,6341614.876,0,2026-04-28 00:09:00+0000,2026-04-28 05:39:00+0530,77316.0912501606,77283.75756473355,0.00039720892801464736
